feature_set,pipeline,feature_time_0,rebalance_time_0,train_time_0,total_time_0,chunks_0,chunks_rebalanced_0,status_0,feature_time_1,rebalance_time_1,train_time_1,total_time_1,chunks_1,chunks_rebalanced_1,status_1,feature_time_2,rebalance_time_2,train_time_2,total_time_2,chunks_2,chunks_rebalanced_2,status_2
0-0-0,baseline,14.736883354984457,,220.7595044670161,235.49638782200054,27-0-0-69,,S,12.894001023989404,,130.1640662230202,143.0580672470096,42-0-13-41,,S,6.397442538989708,,206.36222187502426,212.75966441401397,27-0-0-69,,S
0-0-0,rebalance,17.017246870993404,33.696984900016105,80.44791749599972,131.16214926700923,0-55-41-0,24-24-24-24,S,13.050405382993631,27.654039126995485,79.73133359401254,120.43577810400166,42-0-41-13,24-24-24-24,S,8.361545186984586,27.11376492099953,80.39922761701746,115.87453772500157,13-0-41-42,24-24-24-24,S
4-0-0,baseline,48.606841285014525,,245.91346785298083,294.52030913799535,14-0-27-55,,S,159.21536583799752,,,,0-13-14-69,,F,119.9878504750086,,195.57439238298684,315.56224285799544,27-14-14-41,,S
4-0-0,rebalance,107.51343488600105,128.5692661559733,129.76789892403758,365.85059996601194,13-0-27-56,24-24-24-24,S,43.36478106997674,127.52549164800439,130.49588741603657,301.3861601340177,55-0-28-13,24-24-24-24,S,272.8663457240036,155.11647631201777,131.1429722759931,559.1257943120145,14-54-14-14,24-24-24-24,S
2-2-2,baseline,370.87379662899184,,,,14-55-27-0,,F,131.96100004101754,,,,0-0-82-14,,F,139.76806431799196,,,,28-13-0-55,,F
2-2-2,rebalance,87.24657468902296,190.6183855420095,153.35234883596422,431.2173090669967,27-0-69-0,24-24-24-24,S,328.7463715230115,223.8226941350149,177.20188894600142,729.7709546040278,14-55-27-0,20-30-24-22,S,139.51509216299746,95.02282290899893,155.51290554599836,390.05082061799476,55-13-14-14,24-24-24-24,S
4-4-4,baseline,342.3882781509892,,,,0-14-27-13,,F,331.69995682901936,,,,14-14-41-27,,F,740.1790896379971,,,,27-28-14-27,,F
4-4-4,rebalance,332.08856934902724,334.06608689099085,205.0495902900002,871.2042465300183,42-0-40-14,24-24-24-24,S,1063.7197329509654,225.81740256299963,304.0123767260229,1593.549512239988,14-41-28-13,20-31-24-21,S,346.7356352690258,320.81952835200354,207.88634956092574,875.4415131819551,28-0-41-27,24-24-24-24,S
