feature_set,pipeline,feature_time_0,rebalance_time_0,train_time_0,total_time_0,chunks_0,chunks_rebalanced_0,status_0,feature_time_1,rebalance_time_1,train_time_1,total_time_1,chunks_1,chunks_rebalanced_1,status_1,feature_time_2,rebalance_time_2,train_time_2,total_time_2,chunks_2,chunks_rebalanced_2,status_2
0-0-0,baseline,7.761863489984535,,308.614877222979,316.3767407129635,96,,S,2.3860997590236366,,310.94210545998067,313.3282052190043,96,,S,2.3048662550281733,,296.6442235209979,298.9490897760261,96,,S
0-0-0,rebalance,,,,,,,,,,,,,,,,,,,,,
4-0-0,baseline,10.975133118976373,,,,96,,F,23.038007499009836,,,,96,,F,11.032597935001832,,,,96,,F
4-0-0,rebalance,54.23930622899206,0.006688362977001816,,,96,96,F,107.06938155199168,0.006248211022466421,,,96,96,F,,,,,,,
2-2-2,baseline,126.94333297503181,,,,96,,F,137.73012402496533,,,,96,,F,116.7888855690253,,,,96,,F
2-2-2,rebalance,,,,,,,,,,,,,,,,,,,,,
4-4-4,baseline,582.4537474800018,,,,54,,F,253.1935435460182,,,,39,,F,336.138167365978,,,,39,,F
4-4-4,rebalance,,,,,,,,,,,,,,,,,,,,,
