id,inline_window,trace_window,samples_window,predict_time,save_time,process_time,r2_score
Env-ml-model-5-0-0.json,0,0,5,180.29433648800114,419.31593403399893,432.6120023449985,0.9579404420094917
Inst-Freq-ml-model-5-1-1.json,1,1,5,243.86921694400007,552.5730677820029,625.6682720390017,0.6910462234076524
