feature_set,pipeline,feature_time_0,rebalance_time_0,train_time_0,total_time_0,chunks_0,chunks_rebalanced_0,status_0,feature_time_1,rebalance_time_1,train_time_1,total_time_1,chunks_1,chunks_rebalanced_1,status_1,feature_time_2,rebalance_time_2,train_time_2,total_time_2,chunks_2,chunks_rebalanced_2,status_2
0-0-0,baseline,32.00486052501947,,173.24767222901573,205.2525327540352,14-27-55,,S,30.708490123972297,,143.14862784999423,173.85711797396652,13-41-42,,S,26.05055047600763,,205.4868410549825,231.53739153099013,0-29-67,,S
0-0-0,rebalance,22.346227285976056,37.50036199897295,120.25131213403074,180.09790141897975,67-29-0,32-32-32,S,35.948807549022604,21.403638257004786,139.0972651989432,196.4497110049706,13-41-42,13-41-42,S,27.346215228026267,21.87995841499651,160.0527575389715,209.27893118199427,14-15-67,14-32-50,S
4-0-0,baseline,113.70446290099062,,,,0-69-27,,F,230.3485060740495,,195.00450687896227,425.3530129530118,42-27-27,,S,112.16060995100997,,256.9639865139616,369.12459646497155,27-14-55,,S
4-0-0,rebalance,166.35932697803946,48.311652988020796,169.80622301995754,384.4772029860178,41-55-0,33-32-31,S,127.65106688300148,94.40935087401886,163.26833837793674,385.3287561349571,14-54-28,32-32-32,S,121.33849448000547,96.52585079596611,166.11514582997188,383.97949110594345,14-55-27,32-33-31,S
2-2-2,baseline,255.11757933697663,,,,14-68-14,,F,234.91670799301937,,,,69-27-0,,F,361.34728686802555,,,,55-27-14,,F
2-2-2,rebalance,143.3419351860066,455.679812997987,210.5830034899991,809.6047516739927,96-0-0,38-29-29,S,297.6794456380303,173.6387664580252,218.91883152892115,690.2370436249766,56-13-27,33-31-32,S,254.64777714700904,283.2340418350068,198.69910646101926,736.5809254430351,69-13-14,35-29-32,S
4-4-4,baseline,415.9896945490036,,,,14-55-27,,F,698.2111841830192,,,,28-41-27,,F,398.9838218270452,,,,13-41-42,,F
4-4-4,rebalance,633.7822590880096,0.004314366029575467,,,13-13-13,13-13-13,F,,,,,,,,,,,,,,
