feature_set,pipeline,feature_time_0,rebalance_time_0,train_time_0,total_time_0,chunks_0,chunks_rebalanced_0,status_0,feature_time_1,rebalance_time_1,train_time_1,total_time_1,chunks_1,chunks_rebalanced_1,status_1,feature_time_2,rebalance_time_2,train_time_2,total_time_2,chunks_2,chunks_rebalanced_2,status_2
0-0-0,baseline,3.779194893024396,,177.37513975898037,181.15433465200476,41-55,,S,6.820682418008801,,178.04033627500758,184.86101869301638,55-41,,S,3.2918872369918972,,177.93895735405385,181.23084459104575,41-55,,S
0-0-0,rebalance,3.7415332560194656,2.737726374005433,156.3870935990126,162.8663532290375,41-55,48-48,S,3.117734288040083,2.7346993340179324,157.6757354089641,163.52816903102212,55-41,49-47,S,5.078712175949477,2.7377668870030902,174.555506843084,182.37198590603657,41-55,41-55,S
4-0-0,baseline,21.08229060098529,,,,29-67,,F,15.096015083021484,,244.0397686259821,259.1357837090036,41-55,,S,15.946259345975704,,23.088373683043756,39.03463302901946,69-27,,S
4-0-0,rebalance,20.33168048801599,12.244038972014096,219.21735719696153,251.79307665699162,28-68,46-50,S,9.816913885995746,5.5851696220343,221.02894162596203,236.43102513399208,55-41,50-46,S,10.247383123030886,5.587217869993765,220.26152823795564,236.0961292309803,41-55,48-48,S
2-2-2,baseline,39.1729922160157,,,,55-41,,F,75.83589743298944,,,,4-92,,F,36.05619289301103,,,,27-69,,F
2-2-2,rebalance,43.214481905975845,7.752319141000044,,,40-56,47-49,F,,,,,,,,,,,,,,
4-4-4,baseline,158.07389940298162,,,,27-69,,F,404.83651990100043,,,,83-13,,F,,,,,,,
4-4-4,rebalance,,,,,,,,,,,,,,,,,,,,,
