model_name,label,x,y,z,r2_0,r2_1,r2_2,r2_3
model_12,env,5,1,1,0.9479541391281308,0.948712955228789,0.9486768761093413,0.9481634360000425
model_12,env,4,2,2,0.9400947560546363,0.9389941327647718,0.9408263317325205,0.9406274868073099
model_12,env,4,4,4,0.9397726180936029,0.9400048087529917,0.9398623820516786,0.9411740756488614
model_12,env,2,2,2,0.919702483993254,0.9198513744548158,0.918690446781054,0.9194470354715119
model_13,env,0,0,0,0.6257975359682381,0.6259395759710313,0.6257743622919816,0.6257908128179823
model_13,env,1,0,0,0.8419612779789516,0.8415566432246279,0.8424423027846404,0.8417395378367333
model_13,env,2,0,0,0.8992666477870948,0.8992221562696021,0.8980346266077033,0.8983735230359383
model_13,env,3,0,0,0.9118126360170739,0.9117685647104598,0.9113081719143995,0.9112353335468683
model_13,env,4,0,0,0.9220645068237918,0.9226481293808723,0.9217907681972395,0.9220458903981238
model_13,env,5,0,0,0.9290466183392979,0.9302873262486339,0.9286137524887298,0.9283787015687458
model_13,env,1,1,1,0.8276540318572153,0.8284498307155839,0.8281451991418101,0.8299115329792693
model_13,env,5,1,1,0.9258322298004279,0.927114711079388,0.926039342972098,0.9254146896625999
model_13,env,4,2,2,0.9149487301062332,0.9168028497583801,0.9144394375360485,0.9152010082003433
model_13,env,4,4,4,0.9115642754693754,0.9125846881871228,0.9106740634976357,0.9118171950191051
model_13,env,2,2,2,0.8868611419450598,0.8869293491033505,0.8861460944157293,0.8878626823189364
model_14,env,0,0,0,0.6257976481446353,0.6259401035994798,0.6257744339130191,0.6257904245072387
model_14,env,1,0,0,0.873816304409763,0.8739320968819979,0.873877359053055,0.8737077257965016
model_14,env,2,0,0,0.9210029845752394,0.9214722004394125,0.9214218390063924,0.920850064408767
model_14,env,3,0,0,0.9319520360864262,0.9314266989470448,0.9318096957168498,0.9320046205745487
model_14,env,4,0,0,0.9420652793276351,0.9405287712352783,0.9409848812508781,0.9411563343085279
model_14,env,5,0,0,0.9489369598726672,0.9491859383678072,0.9494107674511905,0.9498457223836081
model_14,env,1,1,1,0.8741332470284515,0.8743492517835592,0.8745035668019888,0.8732220566215223
model_14,env,5,1,1,0.9479541391281308,0.948712955228789,0.9486768761093413,0.9481634360000425
model_14,env,4,2,2,0.9400947560546363,0.9389941327647718,0.9408263317325205,0.9406274868073099
model_14,env,4,4,4,0.9397726180936029,0.9400048087529917,0.9398623820516786,0.9411740756488614
model_14,env,2,2,2,0.919702483993254,0.9198513744548158,0.918690446781054,0.9194470354715119
model_15,env,0,0,0,0.6257975359682381,0.6259395759710313,0.6257743622919816,0.6257908128179823
model_15,env,1,0,0,0.8419612779789516,0.8415566432246279,0.8424423027846404,0.8417395378367333
model_15,env,2,0,0,0.8992666477870948,0.8992221562696021,0.8980346266077033,0.8983735230359383
model_15,env,3,0,0,0.9118126360170739,0.9117685647104598,0.9113081719143995,0.9112353335468683
model_15,env,4,0,0,0.9220645068237918,0.9226481293808723,0.9217907681972395,0.9220458903981238
model_15,env,5,0,0,0.9290466183392979,0.9302873262486339,0.9286137524887298,0.9283787015687458
model_15,env,1,1,1,0.8276540318572153,0.8284498307155839,0.8281451991418101,0.8299115329792693
model_15,env,5,1,1,0.9258322298004279,0.927114711079388,0.926039342972098,0.9254146896625999
model_15,env,4,2,2,0.9149487301062332,0.9168028497583801,0.9144394375360485,0.9152010082003433
model_15,env,4,4,4,0.9115642754693754,0.9125846881871228,0.9106740634976357,0.9118171950191051
model_15,env,2,2,2,0.8868611419450598,0.8869293491033505,0.8861460944157293,0.8878626823189364
model_16,env,0,0,0,-2.0781999792031445,-2.0750431699794856,-2.077668273961665,-2.0786302026141446
model_16,env,1,0,0,-2.0580309595031054,-2.055886267905587,-2.0602082125392536,-2.0601064068594273
model_16,env,2,0,0,-2.0422504482800505,-2.0462514399071314,-2.048388175854091,-2.050530941893506
